id,project_id,area_id
2819,85,35
2820,85,42
2821,85,44
5869,332,31
54875,472,84
54876,472,85
51811,297,8
51812,297,43
85356,191,33
85357,191,34
85358,191,35
85359,191,45
85360,191,15
51813,297,22
2257,376,56
2258,376,27
2259,376,28
2260,376,87
2619,464,73
2620,464,22
79722,883,34
79723,883,59
16324,183,9
16325,183,30
16326,183,54
2268,258,38
2269,258,32
2270,258,51
2271,258,36
2272,258,43
2273,258,1
2274,258,18
2275,258,28
16327,183,41
19994,157,74
19995,157,43
19996,157,52
81905,1016,60
40415,477,33
40416,477,42
2289,292,26
2290,292,60
2291,292,42
2292,371,48
2293,371,36
19997,157,22
19998,157,31
2710,179,82
84819,971,82
18560,342,31
18628,498,73
18629,498,31
18630,498,84
18631,498,22
18632,498,52
84820,971,84
78352,679,34
16048,94,25
16049,94,19
16050,94,29
16051,94,6
16052,94,43
75119,914,43
75120,914,22
78353,679,59
63718,870,33
78354,679,42
16205,152,82
16206,152,83
16207,152,84
16208,152,85
16209,152,86
3024,119,32
3025,119,26
3026,119,44
3027,119,7
40417,477,45
40418,477,15
40419,477,57
40420,477,26
40421,477,60
2822,85,45
2823,85,15
2824,85,26
16231,91,33
84821,971,85
66932,917,82
66933,917,83
42240,743,34
2858,188,4
2859,188,5
42241,743,59
42242,743,42
42243,743,23
2860,188,8
2861,188,10
2862,188,43
2863,188,12
2864,188,16
2865,188,18
66934,917,84
55291,702,82
55292,702,83
55293,702,84
2866,188,20
2867,188,22
2868,188,27
2869,188,28
2870,188,30
2871,188,31
45030,656,2
45031,656,43
45032,656,52
16232,91,35
16233,91,42
45033,656,74
83162,159,67
62742,894,31
16234,91,45
16235,91,15
16236,91,63
52843,759,23
55294,702,85
83163,159,43
3150,83,31
83164,159,29
83165,159,31
78355,679,23
15765,168,82
15766,168,83
15767,168,84
15768,168,85
15798,485,33
15799,485,1
15800,485,7
15801,485,44
15802,485,45
15803,485,49
66935,917,85
65817,854,66
29898,535,82
2649,372,52
2650,372,31
2666,122,82
29899,535,84
3000,132,41
15434,594,2
65818,854,3
65819,854,43
65820,854,29
44818,698,28
44819,698,43
44820,698,12
2711,178,82
15881,449,8
15882,449,43
3001,132,27
3002,132,30
3003,132,54
15883,449,28
2767,99,32
2768,99,17
2769,99,44
2770,99,7
15435,594,3
15436,594,4
15437,594,6
15438,594,8
26562,525,29
18580,617,7
18581,617,9
3269,1,82
2852,193,82
2853,193,83
2854,193,84
2855,193,85
2856,193,86
15439,594,10
15440,594,11
15441,594,16
15442,594,18
2881,166,32
2882,166,26
2883,166,44
2884,166,7
15443,594,19
15444,594,21
15445,594,22
15446,594,24
15447,594,25
15448,594,27
15449,594,28
12868,514,3
65821,854,50
65822,854,19
65823,854,61
83003,1034,31
12869,514,6
3133,110,32
3134,110,33
3135,110,7
3136,110,42
3137,110,87
3138,110,44
3139,110,45
3140,110,15
3141,110,23
3151,75,82
3152,75,83
3153,75,84
3154,75,85
3155,75,86
18582,617,15
18583,617,17
12870,514,43
13216,496,32
13217,496,44
3540,249,32
3541,249,46
58778,390,43
3588,90,1
3589,90,36
3590,90,87
3417,81,32
3418,81,1
3419,81,36
3420,81,7
3421,81,9
3422,81,87
3423,81,44
3424,81,51
3425,81,41
3426,81,56
3427,81,30
58779,390,22
58780,390,31
3458,33,26
3459,33,35
3460,33,45
55843,820,8
55844,820,18
55845,820,43
55846,820,28
55847,820,62
78713,151,82
78714,151,83
78715,151,84
78716,151,85
18584,617,23
18585,617,26
3633,16,32
3634,16,34
3635,16,35
3636,16,36
3643,21,32
3644,21,30
18586,617,32
18587,617,33
18588,617,34
18589,617,35
18590,617,36
18591,617,38
26563,525,6
26564,525,61
51779,561,43
51780,561,22
51781,561,31
12871,514,29
12872,514,50
12873,514,19
11239,545,82
11240,545,83
11241,545,84
12874,514,21
12875,514,25
11242,545,85
12876,514,61
29558,491,73
29559,491,22
29560,491,31
4460,169,72
4461,169,73
4462,169,43
4463,169,31
12223,367,26
12224,367,35
15450,594,29
16331,369,73
16332,369,2
12225,367,45
16333,369,43
16334,369,52
16335,369,31
13138,24,32
13139,24,1
13140,24,34
10974,544,2
10975,544,43
10976,544,52
10977,544,74
13141,24,36
13142,24,5
13143,24,38
10978,544,31
13144,24,7
11943,111,32
29900,535,85
11944,111,33
11945,111,34
11946,111,35
11947,111,6
11948,111,7
11949,111,9
11950,111,42
11951,111,43
57455,696,43
57456,696,22
57457,696,31
57532,776,48
57533,776,1
57534,776,36
57535,776,87
57580,758,34
57581,758,59
57582,758,42
57583,758,23
57601,742,34
57602,742,59
57603,742,42
57604,742,23
84822,187,8
84823,187,43
11952,111,44
15451,594,30
15452,594,31
15453,594,43
11953,111,45
11954,111,15
11955,111,3
11956,111,41
11957,111,23
11958,111,25
11959,111,26
11564,580,49
11565,580,35
11566,580,44
11567,580,45
11568,580,15
11960,111,31
11961,111,29
11962,111,30
15454,594,50
15455,594,52
11963,111,19
13145,24,9
13146,24,42
13147,24,43
15456,594,54
13148,24,44
13149,24,45
18592,617,41
13150,24,17
13151,24,18
13152,24,41
18593,617,42
18594,617,44
18595,617,45
13153,24,23
18596,617,46
13154,24,27
18597,617,47
18598,617,48
18599,617,49
18600,617,51
18601,617,53
18602,617,55
18603,617,56
18604,617,57
18605,617,59
18606,617,60
40957,512,3
16019,239,76
16020,239,39
40958,512,6
40959,512,43
40960,512,14
16126,164,1
16127,164,35
16128,164,36
16129,164,5
16130,164,43
16131,164,44
40961,512,29
40962,512,50
40963,512,19
40964,512,21
10159,566,1
10160,566,5
10161,566,7
10162,566,9
10163,566,13
10164,566,15
10165,566,17
10166,566,18
10167,566,23
10168,566,26
10169,566,27
10170,566,28
10171,566,32
10172,566,33
7870,553,33
7871,553,44
7872,553,45
7873,553,15
40965,512,25
40966,512,61
58809,851,36
58810,851,87
84824,187,18
84825,187,22
7874,553,49
7875,553,53
7876,553,47
6923,532,28
6924,532,43
6925,532,12
10173,566,34
10174,566,35
54881,785,34
54882,785,59
54883,785,23
55239,145,82
55240,145,83
55241,145,84
55242,145,85
55027,26,32
55028,26,33
55029,26,35
55030,26,36
67934,712,58
9382,527,25
9383,527,50
9384,527,43
9385,527,66
9386,527,29
12226,581,82
12227,581,84
12228,581,85
67935,712,64
12318,568,1
12319,568,36
12320,568,5
15457,594,58
15458,594,61
15459,594,62
84826,187,28
78717,151,86
12321,568,38
73246,608,50
73247,608,29
67936,712,65
67937,712,66
45034,656,31
55031,26,5
55032,26,1
13155,24,28
13156,24,30
12322,568,7
12323,568,41
12324,568,43
15460,594,63
44784,401,31
55033,26,9
12325,568,44
13218,496,46
12326,568,13
12327,568,46
12328,568,48
12329,568,17
12330,568,18
12331,568,51
12332,568,20
12333,568,55
12334,568,27
12335,568,28
12336,568,62
83082,653,29
83083,653,50
83084,653,52
83085,653,31
67938,712,67
83086,653,61
57458,693,16
57459,693,43
57460,693,11
57461,693,31
57462,693,63
57510,780,34
57511,780,9
57512,780,54
57513,780,23
57514,780,59
57515,780,30
52884,745,33
55034,26,7
55035,26,44
55036,26,45
55037,26,15
55038,26,17
83087,653,63
79689,869,2
79690,869,4
79691,869,5
11107,533,24
11108,533,43
11109,533,29
55039,26,18
55040,26,41
79692,869,7
55041,26,43
55042,26,87
55043,26,23
79693,869,9
55044,26,26
55045,26,28
55046,26,30
79694,869,10
30098,613,1
30099,613,7
55243,145,86
30100,613,9
30101,613,15
30102,613,17
79695,869,11
30103,613,18
12881,59,32
12882,59,33
12883,59,34
12884,59,35
12885,59,36
12886,59,38
30104,613,23
30105,613,26
30106,613,35
30107,613,38
30108,613,41
30109,613,42
30110,613,44
30111,613,45
12887,59,1
12888,59,41
12889,59,42
30112,613,46
30113,613,47
30114,613,48
79696,869,12
30115,613,49
30116,613,51
7798,552,17
7799,552,55
7800,552,36
7801,552,87
79697,869,16
67939,712,68
67940,712,69
12890,59,7
12891,59,44
84827,187,31
84879,937,9
84880,937,30
45983,501,45
67941,712,70
79724,883,42
12892,59,45
12893,59,15
12894,59,17
12895,59,43
12896,59,23
12897,59,30
79725,883,23
62743,894,22
30117,613,53
30118,613,55
30119,613,56
30120,613,57
30121,613,59
30122,613,60
14728,528,82
14729,528,83
14730,528,85
18760,616,33
18761,616,35
18762,616,44
18763,616,45
18764,616,47
18765,616,49
18766,616,53
18767,616,26
18768,616,15
18769,616,60
45759,590,3
45760,590,43
45761,590,29
78974,980,34
78975,980,59
78976,980,42
78977,980,23
30123,613,87
45762,590,50
18611,492,74
18612,492,52
18613,492,31
45763,590,19
45764,590,21
45765,590,25
45766,590,61
62744,894,63
67942,712,71
53304,626,60
55047,26,31
13157,136,32
13158,136,1
13159,136,35
54303,778,34
54304,778,59
54305,778,42
54306,778,23
13160,136,36
75121,914,31
75167,724,34
13161,136,7
13162,136,9
13163,136,42
13164,136,23
13165,136,44
13166,136,45
13167,136,15
13168,136,17
13169,136,41
67943,712,72
67944,712,73
67945,712,74
67786,707,82
67787,707,83
67788,707,84
67789,707,85
52885,745,34
67790,707,86
81008,945,32
84149,1062,74
84150,1062,52
84151,1062,31
58167,385,9
58168,385,58
58169,385,43
58170,385,30
81009,945,33
81010,945,35
81011,945,7
10691,478,18
81012,945,42
58348,663,34
58349,663,59
58350,663,42
10692,478,43
52886,745,59
44037,703,43
44038,703,76
81013,945,55
81014,945,44
81015,945,45
81016,945,46
52887,745,42
52888,745,45
52889,745,15
10693,478,30
10694,478,22
67946,712,76
68425,919,82
68426,919,83
68427,919,84
67999,873,34
68000,873,59
68001,873,42
68428,919,85
68429,919,86
81017,945,15
9804,263,49
9805,263,35
9806,263,15
30357,658,34
16132,164,17
16133,164,87
16134,164,26
16135,164,28
50395,630,82
52890,745,23
52891,745,47
54334,782,30
51090,547,43
51091,547,61
51092,547,6
54335,782,54
53363,576,18
53364,576,43
53365,576,28
53366,576,62
24361,160,29
15263,534,82
15264,534,83
15265,534,84
15266,534,85
15267,534,86
81018,945,49
78403,674,82
74492,729,34
24398,446,82
24399,446,83
74493,729,35
81019,945,51
81020,945,53
81021,945,59
10175,566,36
10176,566,38
53431,123,74
53432,123,43
53433,123,22
44225,537,56
44226,537,9
44227,537,30
44228,537,41
81022,945,23
81023,945,26
74494,729,7
10695,478,31
74495,729,42
78404,674,83
78405,674,84
78406,674,85
78407,674,86
81024,945,47
53434,123,31
53480,22,32
53481,22,44
53482,22,15
10177,566,41
10178,566,42
10179,566,44
10180,566,45
10181,566,46
10182,566,47
10183,566,48
10184,566,49
10185,566,51
10186,566,53
10187,566,55
10188,566,56
10189,566,57
10190,566,58
10191,566,59
10192,566,60
10193,566,62
83513,716,33
10408,564,1
10409,564,5
10410,564,7
10411,564,9
18481,318,33
18482,318,47
18483,318,45
18484,318,23
10412,564,13
10413,564,15
10414,564,17
10415,564,18
10416,564,23
10417,564,26
10418,564,27
10419,564,32
10420,564,33
10421,564,35
10422,564,36
10423,564,38
10424,564,41
10425,564,42
10426,564,44
10427,564,45
10428,564,46
10429,564,47
10430,564,48
10431,564,49
10432,564,51
10433,564,53
10434,564,55
10435,564,56
10436,564,57
10437,564,59
10438,564,60
83514,716,34
63719,870,57
63720,870,45
84828,934,43
83515,716,35
75122,932,72
75123,932,73
83516,716,42
83517,716,45
83518,716,47
75124,932,74
75125,932,52
75126,932,22
75127,932,31
72811,756,34
72812,756,59
75227,970,82
84338,1063,52
84829,934,22
84830,934,31
83519,716,49
74496,729,55
75228,970,84
13170,136,87
13171,136,26
13219,569,32
16065,72,32
16066,72,2
16067,72,8
16068,72,10
16069,72,43
16070,72,46
16071,72,18
16072,72,58
13220,569,44
13221,569,46
13222,569,7
16073,72,42
84881,937,54
84882,937,41
84625,1049,31
63721,870,15
75229,970,85
83520,716,53
72813,756,42
67266,86,33
16074,72,30
16075,72,31
67267,86,34
67268,86,35
66320,150,82
66321,150,83
66322,150,84
66323,150,85
66324,150,86
15126,395,6
15127,395,43
15128,395,61
15129,395,19
15130,395,29
15131,395,31
83521,716,57
79541,876,34
73619,964,23
54187,511,66
54188,511,43
54189,511,29
66936,845,34
66937,845,59
66938,845,42
66939,845,23
40906,629,43
40907,629,28
40908,629,62
67269,86,42
54190,511,61
85041,117,82
85042,117,84
67270,86,45
67271,86,15
67272,86,26
71963,865,34
71964,865,59
71965,865,42
71966,865,23
72814,756,23
79542,876,59
83522,716,26
83523,716,15
85043,117,85
85416,1071,74
85417,1071,52
57952,661,34
57953,661,59
85418,1071,22
79543,876,42
85419,1071,31
19689,589,19
19690,589,50
19691,589,43
19692,589,66
19693,589,29
54976,475,73
54977,475,43
74497,729,45
74498,729,15
74499,729,49
57954,661,42
57955,661,23
54978,475,52
54979,475,22
54980,475,31
51751,487,49
51752,487,35
51753,487,45
52856,751,34
52857,751,59
83221,720,82
70131,929,23
70132,929,42
70133,929,59
70134,929,34
70135,929,69
54239,638,43
54240,638,29
16661,155,82
16662,155,83
16663,155,84
16664,155,85
16665,155,86
54241,638,6
54242,638,61
54985,139,82
83524,716,60
85131,1065,82
85132,1065,83
45492,764,82
16698,517,82
16699,517,83
16700,517,84
16701,517,85
16702,517,86
16715,393,43
16716,393,22
16717,393,31
45493,764,83
45494,764,84
45495,764,85
45496,764,86
85133,1065,84
85134,1065,85
54986,139,83
54987,139,84
84094,483,64
16730,436,73
16731,436,43
16732,436,22
16733,436,31
54988,139,85
84095,483,43
84096,483,29
84097,483,14
84098,483,61
19797,510,73
19798,510,22
19799,510,31
79034,978,34
79035,978,59
19812,508,82
19813,508,84
19814,508,85
19815,508,86
40883,714,23
40884,714,42
40885,714,59
40886,714,34
40887,714,77
68002,873,23
79036,978,42
79037,978,23
43834,718,32
54817,809,31
43835,718,45
85232,1040,82
81550,949,31
18399,394,43
18400,394,31
81551,949,43
19917,176,82
19918,176,83
19919,176,84
19920,176,86
19956,174,82
19957,174,83
19958,174,84
19959,174,85
19960,174,86
19014,597,18
19015,597,30
81552,949,52
81553,949,22
63864,909,27
63865,909,58
57956,650,34
63866,909,43
63867,909,30
85233,1040,83
79544,876,23
79698,869,17
79699,869,18
79700,869,20
79701,869,24
79702,869,27
79703,869,28
79704,869,32
79705,869,36
82875,364,40
82876,364,43
82877,364,29
82878,364,50
84204,105,42
79706,869,38
79707,869,41
26724,353,28
26725,353,43
26726,353,12
26727,353,86
26284,526,31
26285,526,43
26286,526,22
19637,567,1
79431,1000,32
79432,1000,81
60422,736,34
81554,949,63
60423,736,35
79433,1000,55
60424,736,9
60425,736,42
60426,736,45
60427,736,15
60428,736,53
60429,736,23
60430,736,26
60431,736,59
79708,869,43
74500,729,51
74501,729,53
74502,729,59
74503,729,23
84205,105,59
68042,908,82
79709,869,44
79710,869,47
79711,869,48
79712,869,51
79713,869,54
79714,869,55
79715,869,56
84206,105,34
84207,105,77
85234,1040,84
85235,1040,85
85282,1038,82
85283,1038,83
19638,567,5
19639,567,7
19640,567,9
19641,567,13
19642,567,15
19643,567,17
19644,567,18
19645,567,23
19646,567,26
19647,567,27
19648,567,32
19649,567,33
19650,567,34
19651,567,35
19652,567,36
19653,567,38
19654,567,41
19655,567,42
19656,567,44
19657,567,45
19658,567,46
19659,567,47
26287,526,63
19660,567,48
19661,567,49
19662,567,51
19663,567,53
19664,567,55
19665,567,56
19666,567,57
