cache_key,value,expires
:1:django_compressor.templatetag.f67be96ce768.file.css,gAJVAEdB10yt6sa5nYmHcQEu,2019-07-20 06:42:17+00:00
:1:django_compressor.templatetag.f67be96ce768.file.js,gAJVAEdB10yt6scJIImHcQEu,2019-07-20 06:42:17+00:00
