id,user_id,group_id
2194,101069,1
2195,101070,1
3,3,1
770,100270,1
774,100274,1
777,129,1
1776,100686,1
11,7,1
14,9,1
783,100277,1
786,299,1
17,11,1
18,11,2
789,100281,1
792,100284,1
23,14,1
25,16,1
28,18,1
29,19,1
30,20,1
795,114,2
1767,100862,1
1777,100686,6
35,23,1
36,24,1
37,25,1
38,26,1
1772,100865,1
1773,100861,1
41,28,1
43,30,1
44,31,1
45,32,1
46,33,1
48,35,1
49,36,1
50,37,1
802,100292,1
805,100295,1
53,39,1
54,40,1
55,41,1
56,42,1
1774,100866,1
58,44,1
59,45,1
60,46,1
61,47,1
62,48,1
63,49,1
64,50,1
65,51,1
66,52,1
67,54,1
1775,100867,1
69,56,1
70,57,1
71,59,1
72,60,1
73,61,1
74,62,1
75,63,1
76,64,1
77,65,1
78,66,1
79,67,1
80,68,1
81,69,1
82,70,1
83,71,1
84,72,1
85,73,1
86,74,1
87,75,1
88,76,1
89,77,1
810,100298,1
91,79,1
92,80,1
93,81,1
94,82,1
95,83,1
96,84,1
97,85,1
98,86,1
99,87,1
100,88,1
813,100301,1
816,100304,1
103,90,1
104,91,1
105,92,1
1477,100681,1
819,100307,1
108,95,1
109,96,1
110,97,1
111,98,1
1478,100682,1
830,100309,1
115,101,1
116,102,1
117,103,1
118,104,1
119,105,1
120,106,1
121,107,1
122,108,1
123,109,1
124,110,1
125,111,1
126,112,1
127,113,1
128,114,1
129,115,1
130,116,1
132,118,1
133,119,1
134,120,1
135,121,1
136,122,1
138,124,1
139,125,1
140,126,1
141,127,1
143,130,1
144,131,1
145,132,1
146,133,1
147,134,1
148,135,1
149,136,1
150,137,1
151,138,1
152,139,1
153,140,1
154,141,1
155,142,1
156,143,1
157,144,1
1785,100869,1
160,147,1
161,148,1
162,149,1
163,150,1
164,151,1
165,152,1
166,153,1
167,154,1
168,155,1
170,157,1
171,158,1
172,159,1
173,160,1
174,161,1
175,162,1
176,163,1
177,164,1
178,165,1
179,166,1
180,167,1
181,168,1
182,169,1
183,170,1
184,171,1
185,172,1
833,100312,1
836,100315,1
839,100318,1
186,173,1
187,174,1
188,175,1
189,176,1
190,177,1
191,178,1
192,179,1
193,180,1
194,181,1
195,182,1
1788,100870,1
196,183,1
1789,100871,1
1790,100872,1
197,184,1
198,185,1
199,186,1
200,187,1
201,188,1
202,189,1
203,190,1
205,192,1
206,193,1
207,194,1
208,195,1
209,196,1
