id,permission_id,content_type_id,user_id,object_pk
1,97,24,40,1
2,97,24,24,2
3,97,24,100,3
4,97,24,120,4
5,97,24,64,5
6,97,24,42,6
7,97,24,12,7
8,97,24,46,8
9,97,24,17,9
10,97,24,90,10
11,97,24,90,11
12,97,24,30,12
13,97,24,113,13
14,97,24,17,14
15,97,24,17,15
16,97,24,158,16
17,97,24,158,17
18,97,24,60,18
19,97,24,158,19
20,97,24,17,20
21,97,24,158,21
22,97,24,158,22
23,97,24,17,23
24,97,24,6,24
25,97,24,131,25
26,97,24,6,26
27,97,24,38,27
28,97,24,9,28
29,97,24,33,29
30,97,24,9,30
31,97,24,33,31
32,97,24,38,32
33,97,24,131,33
34,97,24,22,34
35,97,24,44,35
36,97,24,34,36
37,97,24,60,37
38,97,24,73,38
39,97,24,46,39
40,97,24,90,40
41,97,24,163,41
42,97,24,165,42
43,97,24,76,43
44,97,24,113,44
45,97,24,113,45
46,97,24,38,46
47,97,24,114,47
48,97,24,163,48
49,97,24,170,49
50,97,24,170,50
51,97,24,170,51
52,97,24,12,52
53,97,24,44,53
54,97,24,119,54
55,97,24,8,55
56,97,24,173,56
57,97,24,173,57
58,97,24,173,58
59,97,24,11,59
60,97,24,60,60
61,97,24,17,61
62,97,24,92,62
63,97,24,30,63
64,97,24,11,64
65,97,24,24,65
66,97,24,120,66
67,97,24,22,67
68,97,24,12,68
69,97,24,116,69
70,97,24,121,70
71,97,24,113,71
72,97,24,57,72
73,97,24,163,73
74,97,24,188,74
75,97,24,44,75
76,97,24,173,76
77,97,24,173,77
78,97,24,119,78
79,97,24,30,79
80,97,24,120,80
81,97,24,6,81
82,97,24,113,82
83,97,24,44,83
84,97,24,63,84
85,97,24,22,85
86,97,24,131,86
87,97,24,60,87
88,97,24,200,88
89,97,24,200,89
90,97,24,119,90
91,97,24,6,91
92,97,24,12,92
93,97,24,88,93
94,97,24,93,94
95,97,24,24,95
96,97,24,215,96
97,97,24,57,97
98,97,24,114,98
99,97,24,114,99
100,97,24,17,100
101,97,24,67,101
102,97,24,110,102
103,97,24,21,103
104,97,24,7,104
105,97,24,27,105
106,97,24,145,106
107,97,24,22,107
108,97,24,8,108
109,97,24,82,109
110,97,24,50,110
111,97,24,78,111
112,97,24,78,112
113,97,24,30,113
114,97,24,145,114
115,97,24,226,115
116,97,24,27,116
117,97,24,82,117
118,97,24,34,118
119,97,24,54,119
120,97,24,99,120
121,97,24,100,121
122,97,24,89,122
123,97,24,151,123
124,97,24,145,124
125,97,24,8,125
126,97,24,155,126
127,97,24,139,127
128,97,24,107,128
129,97,24,124,129
130,97,24,36,130
131,97,24,118,131
132,97,24,11,132
133,97,24,145,133
134,97,24,4,134
135,97,24,4,135
136,97,24,8,136
137,97,24,64,137
138,97,24,21,138
139,97,24,105,139
140,97,24,21,140
141,97,24,22,141
142,97,24,22,142
143,97,24,70,143
144,97,24,17,144
145,97,24,93,145
146,97,24,9,146
147,97,24,9,147
148,97,24,21,148
149,97,24,21,149
150,97,24,84,150
151,97,24,4,151
152,97,24,4,152
153,97,24,4,153
154,97,24,152,154
155,97,24,152,155
156,97,24,110,156
157,97,24,87,157
158,97,24,87,158
159,97,24,142,159
160,97,24,142,160
161,97,24,145,161
162,97,24,189,162
163,97,24,116,163
164,97,24,6,164
165,97,24,123,165
166,97,24,123,166
167,97,24,114,167
168,97,24,132,168
169,97,24,89,169
170,97,24,89,170
171,97,24,90,171
172,97,24,90,172
173,97,24,54,173
174,97,24,89,174
175,97,24,89,175
176,97,24,89,176
177,97,24,89,177
178,97,24,89,178
179,97,24,89,179
180,97,24,142,180
181,97,24,110,181
182,97,24,8,182
183,97,24,8,183
184,97,24,29,184
185,97,24,158,185
186,97,24,56,186
187,97,24,12,187
188,97,24,44,188
189,97,24,67,189
190,97,24,112,190
191,97,24,113,191
192,97,24,131,192
193,97,24,112,193
194,97,24,64,194
195,97,24,241,195
196,97,24,241,196
197,97,24,17,197
198,97,24,24,198
199,97,24,17,199
200,97,24,90,200
201,97,24,90,201
202,97,24,90,202
203,97,24,90,203
204,97,24,90,204
205,97,24,76,205
206,97,24,76,206
207,97,24,10,207
208,97,24,1,208
209,97,24,10,209
210,97,24,10,210
211,97,24,17,211
212,97,24,10,212
213,97,24,10,213
214,97,24,10,214
215,97,24,10,215
216,97,24,76,216
217,97,24,76,217
218,97,24,17,218
219,97,24,76,219
220,97,24,44,220
221,97,24,113,221
222,97,24,70,222
223,97,24,110,223
224,97,24,24,224
225,97,24,1,225
226,97,24,1,226
227,97,24,1,227
228,97,24,66,228
229,97,24,110,229
230,97,24,131,230
231,97,24,110,231
232,97,24,24,232
233,97,24,10,233
234,97,24,1,234
235,97,24,17,235
236,97,24,10,236
237,97,24,12,237
238,97,24,142,238
239,97,24,124,239
240,97,24,251,240
241,97,24,6,241
242,97,24,116,242
243,97,24,145,243
244,97,24,22,244
245,97,24,29,245
246,97,24,40,246
247,97,24,40,247
248,97,24,24,248
249,97,24,100,249
250,97,24,120,250
251,97,24,64,251
252,97,24,42,252
253,97,24,12,253
254,97,24,46,254
255,97,24,17,255
256,97,24,90,256
257,97,24,90,257
258,97,24,30,258
259,97,24,113,259
260,97,24,17,260
261,97,24,17,261
262,97,24,158,262
263,97,24,158,263
264,97,24,60,264
265,97,24,158,265
266,97,24,17,266
267,97,24,158,267
268,97,24,158,268
269,97,24,17,269
270,97,24,6,270
271,97,24,131,271
272,97,24,6,272
273,97,24,38,273
274,97,24,9,274
275,97,24,33,275
276,97,24,9,276
277,97,24,33,277
278,97,24,38,278
279,97,24,131,279
280,97,24,22,280
281,97,24,44,281
282,97,24,34,282
283,97,24,60,283
284,97,24,73,284
285,97,24,46,285
286,97,24,90,286
287,97,24,163,287
288,97,24,165,288
289,97,24,76,289
290,97,24,113,290
291,97,24,113,291
292,97,24,38,292
293,97,24,114,293
294,97,24,163,294
295,97,24,170,295
296,97,24,170,296
297,97,24,170,297
298,97,24,12,298
299,97,24,44,299
300,97,24,119,300
301,97,24,8,301
302,97,24,173,302
303,97,24,173,303
304,97,24,173,304
305,97,24,11,305
306,97,24,60,306
307,97,24,17,307
308,97,24,92,308
309,97,24,30,309
310,97,24,11,310
311,97,24,24,311
312,97,24,120,312
313,97,24,22,313
314,97,24,12,314
315,97,24,116,315
316,97,24,121,316
317,97,24,113,317
318,97,24,57,318
319,97,24,163,319
320,97,24,188,320
321,97,24,44,321
322,97,24,173,322
323,97,24,173,323
324,97,24,119,324
325,97,24,30,325
326,97,24,120,326
327,97,24,6,327
328,97,24,113,328
329,97,24,44,329
330,97,24,63,330
331,97,24,22,331
332,97,24,131,332
333,97,24,60,333
334,97,24,200,334
335,97,24,200,335
336,97,24,119,336
337,97,24,6,337
338,97,24,12,338
339,97,24,88,339
340,97,24,93,340
341,97,24,24,341
342,97,24,215,342
343,97,24,57,343
344,97,24,114,344
345,97,24,114,345
346,97,24,17,346
347,97,24,67,347
348,97,24,110,348
349,97,24,21,349
350,97,24,7,350
351,97,24,27,351
352,97,24,145,352
353,97,24,22,353
354,97,24,8,354
355,97,24,82,355
356,97,24,50,356
357,97,24,78,357
358,97,24,78,358
359,97,24,30,359
360,97,24,145,360
361,97,24,226,361
362,97,24,27,362
363,97,24,82,363
364,97,24,34,364
365,97,24,54,365
366,97,24,99,366
367,97,24,100,367
368,97,24,89,368
369,97,24,151,369
370,97,24,145,370
371,97,24,8,371
372,97,24,155,372
373,97,24,139,373
374,97,24,107,374
375,97,24,124,375
376,97,24,36,376
377,97,24,118,377
378,97,24,11,378
379,97,24,145,379
380,97,24,4,380
381,97,24,4,381
382,97,24,8,382
383,97,24,64,383
384,97,24,21,384
385,97,24,105,385
386,97,24,21,386
387,97,24,22,387
388,97,24,22,388
389,97,24,70,389
390,97,24,17,390
391,97,24,93,391
392,97,24,9,392
393,97,24,9,393
394,97,24,21,394
395,97,24,21,395
396,97,24,84,396
397,97,24,4,397
398,97,24,4,398
399,97,24,4,399
400,97,24,152,400
401,97,24,152,401
402,97,24,110,402
403,97,24,87,403
404,97,24,87,404
405,97,24,142,405
406,97,24,142,406
407,97,24,145,407
408,97,24,189,408
409,97,24,116,409
410,97,24,6,410
411,97,24,123,411
412,97,24,123,412
413,97,24,114,413
414,97,24,132,414
415,97,24,89,415
416,97,24,89,416
417,97,24,90,417
418,97,24,90,418
419,97,24,54,419
420,97,24,89,420
421,97,24,89,421
422,97,24,89,422
423,97,24,89,423
424,97,24,89,424
425,97,24,89,425
426,97,24,142,426
427,97,24,110,427
428,97,24,8,428
429,97,24,8,429
430,97,24,29,430
431,97,24,158,431
432,97,24,56,432
433,97,24,12,433
