id,app_name,migration,applied
37,documents,0004_auto__add_stafftimeestimate,2016-04-20 16:28:48.428211+08:00
38,documents,0005_auto__add_field_document_pdf,2016-04-20 16:28:48.430198+08:00
39,documents,0006_auto__add_field_projectplan_operating_budget_external__chg_field_proje,2016-04-20 16:28:48.431953+08:00
40,documents,0007_auto__add_field_projectclosure_goal__add_field_projectclosure_reason,2016-05-31 15:27:41.514742+08:00
41,documents,0008_auto__chg_field_projectclosure_goal,2016-05-31 15:27:41.607256+08:00
42,projects,0008_auto__chg_field_researchfunction_description__chg_field_researchfuncti,2016-05-31 15:27:41.788174+08:00
43,pythia,0006_auto__chg_field_program_introduction__chg_field_program_focus__chg_fie,2016-09-07 13:46:27.897800+08:00
44,documents,0009_auto__add_field_conceptplan_background,2016-09-07 13:46:33.689952+08:00
45,projects,0009_auto__chg_field_project_image,2017-04-27 14:35:01.802391+08:00
46,pythia,0007_auto__add_field_program_image,2017-05-08 14:12:52.841211+08:00
47,pythia,0008_auto__add_field_ararreport_sds_chapterimage__add_field_ararreport_sds_,2017-08-29 11:59:10.197027+08:00
48,pythia,0009_auto__add_field_ararreport_collaboration_chapterimage,2017-08-29 11:59:10.231260+08:00
49,projects,0010_auto__add_field_project_keywords,2017-10-02 11:46:02.009390+08:00
50,projects,0011_auto__add_field_collaborationproject_aims__add_field_collaborationproj,2017-11-27 09:40:27.298199+08:00
51,projects,0012_auto__add_field_researchfunction_active,2018-07-04 15:35:16.412337+08:00
52,projects,0013_auto__add_field_projectmembership_short_code,2018-07-24 17:03:49.418867+08:00
53,reports,0001_initial,2019-09-04 14:44:24.390973+08:00
54,reports,0002_add_pdf,2019-09-04 14:44:24.427416+08:00
55,reports,0003_add_coverpage,2019-11-11 13:24:41.091868+08:00
56,reports,0004_add_rearcoverpage,2019-11-11 13:24:41.120404+08:00
57,pythia,0010_projects,2022-05-20 11:54:53.208028+08:00
58,pythia,0011_auto__add_division__add_field_program_division,2022-05-20 11:54:53.621181+08:00
59,pythia,0012_auto,2022-05-20 11:54:53.813227+08:00
60,pythia,0013_auto__add_field_user_division,2022-05-20 11:54:53.925665+08:00
61,pythia,0014_auto__add_field_division_approver,2022-05-20 11:54:54.010696+08:00
62,pythia,0015_auto__chg_field_user_username,2022-05-20 11:54:54.222545+08:00
63,projects,0014_auto__chg_field_project_output_program,2022-05-20 11:57:04.045301+08:00
64,pythia,0016_auto__del_field_user_division,2022-06-24 12:39:26.196118+08:00
